site_id,lat,lon,priority,score,s1_희소성,s2_지형,s3_전력철도,s4_인구이격,s5_자기균일,dem_slope_deg,d_power_km,d_railway_km,d_urban_km
109,37.7517,128.51044,1,58.0,2.2,13.6,11.8,10.8,8.0,2.79,14.3,7.7,4.9
110,37.93193,128.51291,1,59.9,2.3,14.1,11.7,9.7,10.0,1.79,3.8,25.8,2.2
111,38.11216,128.51539,3,51.8,2.3,11.1,11.7,8.3,8.0,7.85,2.3,45.1,0.7
112,38.3825,128.51916,2,56.0,3.8,15.0,11.5,9.5,5.0,0.05,3.8,18.2,1.8
113,36.66918,128.60801,3,52.4,4.2,14.3,9.1,9.4,5.0,1.5,1.6,1.1,1.6
114,36.93958,128.61191,2,56.0,2.3,14.1,10.5,8.0,10.0,1.86,3.1,4.6,0.5
115,37.0297,128.61323,1,57.2,1.9,13.9,11.6,8.4,10.0,2.24,6.1,13.0,0.8
116,37.57044,128.62123,1,58.3,2.5,13.7,10.4,9.9,10.0,2.51,4.2,3.2,2.5
117,37.75067,128.62394,1,56.7,1.9,13.3,11.0,9.2,10.0,3.3,7.9,3.9,1.4
118,37.84079,128.62531,1,56.9,2.0,11.8,11.6,10.1,10.0,6.44,6.1,13.5,2.9
119,38.02101,128.62806,1,58.9,2.9,14.1,11.3,8.8,10.0,1.85,1.7,31.9,1.0
120,37.02859,128.72564,1,57.1,1.9,13.9,10.8,9.0,10.0,2.1,2.7,9.3,1.2
121,37.11872,128.72709,2,54.3,2.3,13.8,10.0,9.3,8.0,2.37,1.2,6.0,1.6
122,37.56931,128.73444,1,58.0,2.7,13.2,10.1,10.4,10.0,3.54,7.4,1.1,3.5
123,37.74953,128.73743,3,53.0,2.4,12.4,9.1,10.4,8.0,5.11,3.6,0.5,3.6
124,37.83965,128.73894,2,56.0,2.6,13.8,10.1,8.3,10.0,2.37,0.8,9.6,0.7
125,36.75702,128.83333,2,56.3,4.3,14.4,11.5,6.8,8.0,1.16,7.6,9.6,0.2
126,37.02738,128.83804,2,55.8,2.5,13.0,11.5,9.6,8.0,3.92,9.9,6.9,2.0
127,37.1175,128.83962,2,53.9,2.6,14.0,9.8,8.8,8.0,2.03,1.4,3.6,1.0
128,37.56807,128.84765,1,57.9,2.7,14.9,10.9,7.8,10.0,0.13,4.0,6.7,0.5
