name,code,min_lon,min_lat,max_lon,max_lat
납청정,NJ51-04-14,125.25,39.666666666666664,125.5,39.833333333333336
박천,NJ51-04-15,125.5,39.666666666666664,125.75,39.833333333333336
개천,NJ51-04-16,125.75,39.666666666666664,126.0,39.833333333333336
원하동,NJ51-04-21,125.0,39.5,125.25,39.666666666666664
고읍,NJ51-04-22,125.25,39.5,125.5,39.666666666666664
용원리,NJ51-04-24,125.75,39.5,126.0,39.666666666666664
운무도,NJ51-04-29,125.0,39.333333333333336,125.25,39.5
신리,NJ51-04-30,125.25,39.333333333333336,125.5,39.5
숙천,NJ51-04-31,125.5,39.333333333333336,125.75,39.5
순천,NJ51-04-32,125.75,39.333333333333336,126.0,39.5
상마노도,NJ51-04-37,125.0,39.166666666666664,125.25,39.333333333333336
한천,NJ51-04-38,125.25,39.166666666666664,125.5,39.333333333333336
순안,NJ51-04-39,125.5,39.166666666666664,125.75,39.333333333333336
사인장,NJ51-04-40,125.75,39.166666666666664,126.0,39.333333333333336
입석,NJ51-04-45,125.0,39.0,125.25,39.166666666666664
증산,NJ51-04-46,125.25,39.0,125.5,39.166666666666664
원장리,NJ51-04-47,125.5,39.0,125.75,39.166666666666664
평양,NJ51-04-48,125.75,39.0,126.0,39.166666666666664
삼등,NJ52-05-01,126.0,38.833333333333336,126.25,39.0
흘동,NJ52-05-02,126.25,38.833333333333336,126.53333333333333,39.0
신평,NJ52-05-03,126.5,38.833333333333336,126.75,39.0
거리소리,NJ52-05-04,126.75,38.833333333333336,127.0,39.0
용덕리,NJ52-01-09,126.0,39.666666666666664,126.25,39.833333333333336
덕천,NJ52-01-10,126.25,39.666666666666664,126.5,39.833333333333336
영원,NJ52-01-11,126.5,39.666666666666664,126.75,39.833333333333336
용천리,NJ52-01-12,126.75,39.666666666666664,127.0,39.833333333333336
득장동,NJ52-01-17,126.0,39.5,126.25,39.666666666666664
북창,NJ52-01-18,126.25,39.5,126.5,39.666666666666664
맹산,NJ52-01-19,126.5,39.5,126.75,39.666666666666664
대평리,NJ52-01-20,126.75,39.5,127.0,39.666666666666664
재동리,NJ52-01-25,126.0,39.333333333333336,126.25,39.5
소창리,NJ52-01-26,126.25,39.333333333333336,126.5,39.5
백석리,NJ52-01-27,126.5,39.333333333333336,126.75,39.5
성내리,NJ52-01-28,126.75,39.333333333333336,127.0,39.5
성천,NJ52-01-33,126.0,39.166666666666664,126.25,39.333333333333336
장림리,NJ52-01-34,126.25,39.166666666666664,126.5,39.333333333333336
양덕,NJ52-01-35,126.5,39.166666666666664,126.75,39.333333333333336
고장백이,NJ52-01-36,126.75,39.166666666666664,127.0,39.333333333333336
강동,NJ52-01-41,126.0,39.0,126.25,39.166666666666664
귀인리,NJ52-01-42,126.25,39.0,126.5,39.166666666666664
대동리,NJ52-01-43,126.5,39.0,126.75,39.166666666666664
동양,NJ52-01-44,126.75,39.0,127.0,39.166666666666664
법동,NJ52-05-05,127.0,38.833333333333336,127.25,39.0
신고산,NJ52-05-06,127.25,38.833333333333336,127.5,39.0
용포리,NJ52-05-07,127.5,38.833333333333336,127.75,39.0
통천,NJ52-05-08,127.75,38.833333333333336,128.0,39.0
내성,NJ52-01-13,127.0,39.666666666666664,127.25,39.833333333333336
정평,NJ52-01-14,127.25,39.666666666666664,127.5,39.833333333333336
연포,NJ52-01-15,127.5,39.666666666666664,127.75,39.833333333333336
영흥,NJ52-01-21,127.0,39.5,127.25,39.666666666666664
파춘장,NJ52-01-22,127.25,39.5,127.5,39.666666666666664
가진리,NJ52-01-23,127.5,39.5,127.75,39.666666666666664
고원,NJ52-01-29,127.0,39.333333333333336,127.25,39.5
진흥리,NJ52-01-30,127.25,39.333333333333336,127.5,39.5
호도반도,NJ52-01-31,127.5,39.333333333333336,127.75,39.5
신풍리,NJ52-01-37,127.0,39.166666666666664,127.25,39.333333333333336
문천,NJ52-01-38,127.25,39.166666666666664,127.5,39.333333333333336
송빈리,NJ52-01-39,127.5,39.166666666666664,127.75,39.333333333333336
마전리,NJ52-01-45,127.0,39.0,127.25,39.166666666666664
원산,NJ52-01-46,127.25,39.0,127.5,39.166666666666664
안변,NJ52-01-47,127.5,39.0,127.75,39.166666666666664
패천리,NJ52-01-48,127.75,39.0,128.0,39.166666666666664
두백리,NJ52-06-01,128.0,38.833333333333336,128.25,39.0
란도,NJ52-02-41,128.0,39.0,128.25,39.166666666666664
신덕평,NJ51-04-01,124.0,39.833333333333336,124.75,40.0
용암포,NJ51-04-02,124.25,39.833333333333336,124.5,40.0
차련관,NJ51-04-03,124.5,39.833333333333336,124.75,40.0
신시동,NJ51-04-04,124.75,39.833333333333336,125.0,40.0
수풍호,NK51-12-20,124.75,40.5,125.0,40.666666666666664
방산리,NK51-12-27,124.5,40.333333333333336,124.75,40.5
청수구,NK51-12-28,124.75,40.333333333333336,125.0,40.5
서호리,NK51-12-34,124.25,40.166666666666664,124.5,40.333333333333336
의주,NK51-12-35,124.5,40.166666666666664,124.75,40.333333333333336
당목동,NK51-12-36,124.75,40.166666666666664,125.0,40.333333333333336
신의주,NK51-12-42,124.25,40.0,124.5,40.166666666666664
비현,NK51-12-43,124.5,40.0,124.75,40.166666666666664
영산리,NK51-12-44,124.75,40.0,125.0,40.166666666666664
남시,NJ51-04-05,125.0,39.833333333333336,125.25,40.0
구성,NJ51-04-06,125.25,39.833333333333336,125.5,40.0
연담동,NK51-12-07,125.5,40.833333333333336,125.75,41.0
고성동,NJ51-04-07,125.5,39.833333333333336,125.75,40.0
신도장,NK51-12-08,125.75,40.833333333333336,126.0,41.0
운산,NJ51-04-08,125.75,39.833333333333336,126.0,40.0
북상리,NK51-12-14,125.25,40.666666666666664,125.5,40.833333333333336
우하동,NK51-12-15,125.5,40.666666666666664,125.75,40.833333333333336
초산,NK51-12-16,125.75,40.666666666666664,126.0,40.833333333333336
동창,NK51-12-21,125.0,40.5,125.25,40.666666666666664
벽동,NK51-12-22,125.25,40.5,125.5,40.666666666666664
발은동,NK51-12-23,125.5,40.5,125.75,40.666666666666664
고장,NK51-12-24,125.75,40.5,126.0,40.666666666666664
삭주,NK51-12-29,125.0,40.333333333333336,125.25,40.5
완풍리,NK51-12-30,125.25,40.333333333333336,125.5,40.5
회하동,NK51-12-31,125.5,40.333333333333336,125.75,40.5
양강동,NK51-12-32,125.75,40.333333333333336,126.0,40.5
대관,NK51-12-37,125.0,40.166666666666664,125.25,40.333333333333336
신창,NK51-12-38,125.25,40.166666666666664,125.5,40.333333333333336
북진,NK51-12-39,125.5,40.166666666666664,125.75,40.333333333333336
관대동,NK51-12-40,125.75,40.166666666666664,126.0,40.333333333333336
백상리,NK51-12-45,125.0,40.0,125.25,40.166666666666664
용성동,NK51-12-46,125.25,40.0,125.5,40.166666666666664
학송동,NK51-12-47,125.5,40.0,125.75,40.166666666666664
