측점,날짜,시작,종료,Kp,dF,dD_arcmin,상태,파일
상주,2023-10-11,13:15:00,13:34:00,0.667,79.55046808685438,-12.477855473513587,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:04:00,14:24:00,0.667,86.78226372554491,-13.72374667290577,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:40:00,14:56:00,0.667,93.83817477006232,-14.044928889461472,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,15:10:00,15:24:00,0.667,97.14508429532725,-13.928614075112517,정상,상주.지자기야장.23.10.11.xlsx
상주,2025-09-24,10:30:00,10:51:00,,,,CYG 자료 없음,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:04:00,11:19:00,,,,CYG 자료 없음,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:44:00,12:02:00,,,,CYG 자료 없음,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,12:36:00,12:53:00,,,,CYG 자료 없음,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,13:34:00,13:49:00,,,,CYG 자료 없음,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,14:32:00,14:46:00,,,,CYG 자료 없음,배포.지자기야장(25.9.25).상주점.ver.xlsx
성산,2023-04-12,10:38:00,11:03:00,0.0,-29.71081994913402,5.146909350533304,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,11:29:00,11:56:00,0.0,-38.86889306951343,2.824207123955608,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,11:38:00,12:03:00,0.0,-38.92004174916656,2.3232700283531624,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,12:29:00,12:56:00,0.0,-32.92430859797605,-1.0154528353504042,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:11:00,13:40:00,0.0,-18.990384867880493,-2.9967913229337837,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,13:12:00,13:40:00,0.0,-18.83574627692724,-3.0173522882807595,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,13:58:00,14:24:00,0.0,-6.626240276826138,-4.0559168764980145,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,14:37:00,15:03:00,0.0,1.1384548607311444,-4.157359938612269,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,14:58:00,15:24:00,0.0,2.980034116531897,-3.912911966234754,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,15:14:00,15:37:00,1.0,4.079644858764368,-3.6482730052248487,정상,성산.지자기야장.23.04.12.xlsx
성산,2023-04-12,15:37:00,16:03:00,1.0,7.801411386753898,-3.2149065195985043,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2023-04-12,16:14:00,16:37:00,1.0,9.208357973286184,-2.4836057837564165,정상,성산.지자기야장.23.04.12(text).xlsx
성산,2025-05-15,11:28:00,11:44:00,3.333,-32.325118173568626,-1.5352735987160016,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,11:28:00,14:40:00,3.333,-17.768468323818524,-3.87917692570902,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,12:02:00,12:17:00,3.667,-27.161937155520718,-3.302236130118169,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,12:36:00,12:51:00,3.667,-25.634596951240383,-4.475372283743227,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,13:26:00,13:40:00,3.667,-13.587776149179263,-4.569750452591512,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,13:58:00,14:12:00,3.667,-5.381331891418085,-4.776794882363808,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
성산,2025-05-15,14:35:00,14:49:00,3.667,2.4642253128113225,-3.874514817974856,정상,배포.지자기야장(25.05.15.0.~).성산점.xlsx
순천,2020-10-13,12:38:00,13:12:00,0.667,-4.808398719324032,-0.4315484914551048,정상,배포.지자기야장(20.10.13순천).xlsx
순천,2020-11-04,11:27:00,11:59:00,0.667,-16.381465509977716,1.8209454969418326,정상,배포.20.11.04_순천_야장(6).xlsx
순천,2020-11-04,12:30:00,12:57:00,0.333,-22.72235205542529,-0.42295570497134266,정상,배포.20.11.04_순천_야장(6).xlsx
순천,2020-11-04,13:22:00,13:41:00,0.333,-18.99679060318158,-2.1847335155539933,정상,배포.20.11.04_순천_야장(6).xlsx
순천,2020-11-04,14:03:00,14:20:00,0.333,-15.337536965336767,-2.716678237394779,정상,배포.20.11.04_순천_야장(6).xlsx
순천,2020-11-04,15:05:00,15:23:00,0.333,-7.7132141707334085,-2.474074912783153,정상,배포.20.11.04_순천_야장(6).xlsx
순천,2020-11-04,15:41:00,15:59:00,0.333,-3.0300266664708033,-1.9367061260160798,정상,배포.20.11.04_순천_야장(6).xlsx
순천,2023-04-26,11:19:00,11:36:00,2.667,-48.290178923125495,-0.3227270544024715,정상,배포.순천.지자기야장.23.xlsx
순천,2023-04-26,11:19:00,15:06:00,2.667,-37.443967676321336,-3.03112198833069,정상,배포.순천.지자기야장.23.xlsx
순천,2023-04-26,12:11:00,12:31:00,3.333,-49.97379733218986,-3.1395933473066373,정상,배포.순천.지자기야장.23.xlsx
순천,2023-04-26,12:52:00,13:10:00,3.333,-42.71155612005532,-3.8244840153660604,정상,배포.순천.지자기야장.23.xlsx
순천,2023-04-26,13:41:00,14:03:00,3.333,-32.01987142057624,-3.6467991593380837,정상,배포.순천.지자기야장.23.xlsx
순천,2023-04-26,14:30:00,14:45:00,3.333,-17.700242862149025,-3.4108467250239434,정상,배포.순천.지자기야장.23.xlsx
순천,2023-04-26,15:00:00,15:15:00,2.0,-12.020236333082721,-3.1530647501465294,정상,배포.순천.지자기야장.23.xlsx
순천,2025-04-02,11:43:00,12:02:00,3.667,-59.93050291874533,-0.6347312586452422,정상,배포.지자기야장(순천).250402ver.xlsx
순천,2025-04-02,11:43:00,16:03:00,3.667,-37.25539713197213,-4.703587287889724,정상,배포.지자기야장(순천).250402ver.xlsx
순천,2025-04-02,12:24:00,12:42:00,3.333,-52.095184583704395,-3.2382493772491396,정상,배포.지자기야장(순천).250402ver.xlsx
순천,2025-04-02,13:19:00,13:42:00,3.333,-40.21044188566157,-6.013637788165367,정상,배포.지자기야장(순천).250402ver.xlsx
순천,2025-04-02,14:23:00,14:40:00,3.333,-26.20498167000187,-6.330815743921897,정상,배포.지자기야장(순천).250402ver.xlsx
순천,2025-04-02,15:09:00,15:25:00,3.333,-25.829655686400656,-5.437426349254782,정상,배포.지자기야장(순천).250402ver.xlsx
순천,2025-04-02,15:58:00,16:13:00,3.333,-21.771664731284545,-3.825951996944386,정상,배포.지자기야장(순천).250402ver.xlsx
양산,2024-10-17,11:58:00,12:22:00,2.667,-36.666538300487446,0.4280074470317438,정상,배포.지자기야장(양산).24.10.17.ver24.1.xlsx
양산,2024-10-17,12:30:00,12:45:00,3.0,-36.5470418472687,-0.6728890652630751,정상,배포.지자기야장(양산).24.10.17.ver24.1.xlsx
양산,2024-10-17,13:21:00,13:41:00,3.0,-23.142352020862745,-2.9447795829625942,정상,배포.지자기야장(양산).24.10.17.ver24.1.xlsx
양산,2024-10-17,14:00:00,14:15:00,3.0,-21.64079760284949,-3.94023885782878,정상,배포.지자기야장(양산).24.10.17.ver24.1.xlsx
양산,2024-10-17,14:40:00,15:00:00,3.0,-19.54117355131166,-3.8087976289325707,정상,배포.지자기야장(양산).24.10.17.ver24.1.xlsx
양산,2024-10-17,15:01:00,15:14:00,1.667,-15.086103373185324,-3.6135174692529555,정상,배포.지자기야장(양산).24.10.17.ver24.1.xlsx
