측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_변동폭_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
상주,2020-10-27,17:02:00,17:25:00,17:02~17:10,17:15~17:25,2020-10-27 08:02~08:10,2020-10-27 08:15~08:25,3.333,DISTURBED,2.8,CAUTION,5.416823132050922,-1.3393341566167205,-0.12289675256291907,3,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:30:00,17:46:00,17:30~17:36,17:40~17:46,2020-10-27 08:30~08:36,2020-10-27 08:40~08:46,3.333,DISTURBED,3.1,CAUTION,4.039693942962913,-1.4424102731989157,0.04114075372754449,3,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,10:57:00,11:16:00,10:57~11:04,11:09~11:16,2020-10-28 01:57~02:04,2020-10-28 02:09~02:16,1.667,QUIET,2.6,QUIET,-6.249532633788476,-1.8860296244105739,0.7346482614455261,4,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,11:33:00,11:53:00,11:33~11:40,11:43~11:53,2020-10-28 02:33~02:40,2020-10-28 02:43~02:53,1.667,QUIET,5.9,QUIET,-6.999782954211696,-1.4724625408329044,0.9213263531728835,4,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,12:10:00,12:27:00,12:10~12:16,12:20~12:27,2020-10-28 03:10~03:16,2020-10-28 03:20~03:27,2.667,CAUTION,3.4,QUIET,-9.596149918543233,-1.358337184275524,1.1638172966572642,4,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2023-10-11,11:51:00,12:11:00,11:51~11:57,12:02~12:11,2023-10-11 02:51~02:57,2023-10-11 03:02~03:11,0.0,QUIET,3.5,QUIET,145.3329137957844,-16.792043436886768,9.241604253513838,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,12:26:00,12:45:00,12:26~12:31,12:38~12:45,2023-10-11 03:26~03:31,2023-10-11 03:38~03:45,0.667,QUIET,2.2,QUIET,152.70411936646997,-20.39841653059452,8.39314745007743,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,13:15:00,13:34:00,13:15~13:23,13:28~13:34,2023-10-11 04:15~04:23,2023-10-11 04:28~04:34,0.667,QUIET,5.1,QUIET,159.9109885961807,-25.289998801502218,7.4738120048629435,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:04:00,14:24:00,14:04~14:11,14:16~14:24,2023-10-11 05:04~05:11,2023-10-11 05:16~05:24,0.667,QUIET,2.6,QUIET,176.6580757960619,-28.84074962737018,6.537062588649973,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,14:40:00,14:56:00,14:40~14:47,14:50~14:56,2023-10-11 05:40~05:47,2023-10-11 05:50~05:56,0.667,QUIET,2.3,QUIET,193.56537665661017,-29.49551571039886,6.166109728573205,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,15:10:00,15:24:00,15:10~15:15,15:18~15:24,2023-10-11 06:10~06:15,2023-10-11 06:18~06:24,0.667,QUIET,1.6,QUIET,202.34953587102063,-29.4237212967785,6.145286097199569,3,plane,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2025-09-24,10:30:00,10:51:00,10:30~10:35,10:45~10:51,2025-09-24 01:30~01:35,2025-09-24 01:45~01:51,1.667,QUIET,2.5,QUIET,24.26928440217307,-2.0424246411660767,-1.1208151018875911,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:04:00,11:19:00,11:04~11:09,11:13~11:19,2025-09-24 02:04~02:09,2025-09-24 02:13~02:19,1.667,QUIET,2.4,QUIET,23.429483708168846,-2.1738897918960767,-0.971712171869406,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,11:44:00,12:02:00,11:44~11:50,11:56~12:02,2025-09-24 02:44~02:50,2025-09-24 02:56~03:02,1.667,QUIET,8.4,QUIET,21.38118195084826,-1.8239409314227877,-0.660547588268661,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,12:36:00,12:53:00,12:36~12:42,12:47~12:53,2025-09-24 03:36~03:42,2025-09-24 03:47~03:53,1.333,QUIET,4.7,QUIET,21.426587216607004,-2.2620413221389413,-0.7720903400214194,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,13:34:00,13:49:00,13:34~13:39,13:43~13:49,2025-09-24 04:34~04:39,2025-09-24 04:43~04:49,1.333,QUIET,10.9,QUIET,32.73989657735365,-1.05331786303657,-1.739198988669548,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
상주,2025-09-24,14:32:00,14:46:00,14:32~14:36,14:41~14:46,2025-09-24 05:32~05:36,2025-09-24 05:41~05:46,1.333,QUIET,7.7,QUIET,26.550782649261237,-1.531558988187427,-1.293596705078864,2,idw,성분별,정상,배포.지자기야장(25.9.25).상주점.ver.xlsx
성산,2023-04-12,10:38:00,11:03:00,10:38~10:48,10:55~11:03,2023-04-12 01:38~01:48,2023-04-12 01:55~02:03,0.0,QUIET,6.5,QUIET,39.6945561406319,-5.768678922001849,-1.5035517518212242,4,plane,성분별,정상,성산.지자기야장.23.04.12(text).xlsx
