측점,날짜,시작,종료,편각구간,복각구간,관측수,F_nT,위도,경도,이상,파일,시트
성산,2025-05-15,12:02:00,12:17:00,12:02~12:08,12:12~12:17,8,49003.96,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
성산,2025-05-15,12:36:00,12:51:00,12:36~12:42,12:45~12:51,8,49000.72,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
성산,2025-05-15,13:26:00,13:40:00,13:26~13:30,13:35~13:40,8,49008.94,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
성산,2025-05-15,13:58:00,14:12:00,13:58~14:03,14:07~14:12,8,49016.11,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
성산,2025-05-15,14:35:00,14:49:00,14:35~14:40,14:44~14:49,8,49022.53,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
순천,2020-10-13,12:38:00,13:12:00,12:38~12:48,13:05~13:12,8,49418.666,34.787055555555554,127.30494444444444,,배포.지자기야장(20.10.13순천).xlsx,간편야장출력
순천,2020-11-04,11:27:00,11:59:00,11:27~11:33,11:49~11:59,8,49467.885,34.78709383333333,127.30496619444445,,배포.20.11.04_순천_야장(6).xlsx,간편야장출력
순천,2020-11-04,12:30:00,12:57:00,12:30~12:41,12:44~12:57,8,49467.885,34.78709383333333,127.30496619444445,,배포.20.11.04_순천_야장(6).xlsx,간편야장출력
순천,2020-11-04,13:22:00,13:41:00,13:22~13:27,13:34~13:41,8,49467.885,34.78709383333333,127.30496619444445,,배포.20.11.04_순천_야장(6).xlsx,간편야장출력
순천,2020-11-04,14:03:00,14:20:00,14:03~14:09,14:13~14:20,8,49467.885,34.78709383333333,127.30496619444445,,배포.20.11.04_순천_야장(6).xlsx,간편야장출력
순천,2020-11-04,15:05:00,15:23:00,15:05~15:11,15:15~15:23,8,49467.885,34.78709383333333,127.30496619444445,,배포.20.11.04_순천_야장(6).xlsx,간편야장출력
순천,2020-11-04,15:41:00,15:59:00,15:41~15:48,15:52~15:59,8,49467.885,34.78709383333333,127.30496619444445,,배포.20.11.04_순천_야장(6).xlsx,간편야장출력
순천,2023-04-26,11:19:00,11:36:00,11:19~11:25,11:28~11:36,8,49684.289,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2023-04-26,11:19:00,15:06:00,11:19~15:06,,24,,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2023-04-26,12:11:00,12:31:00,12:11~12:17,12:23~12:31,8,49685.703,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2023-04-26,12:52:00,13:10:00,12:52~12:58,13:02~13:10,8,49691.786,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2023-04-26,13:41:00,14:03:00,13:41~13:50,13:55~14:03,8,49700.874,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2023-04-26,14:30:00,14:45:00,14:30~14:37,14:39~14:45,8,49690.663,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2023-04-26,15:00:00,15:15:00,15:00~15:06,15:09~15:15,8,49690.663,34.78709383333333,127.30496619444445,,배포.순천.지자기야장.23.xlsx,간편야장출력
순천,2025-04-02,11:43:00,12:02:00,11:43~11:46,11:55~12:02,7,49618.919,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
순천,2025-04-02,11:43:00,16:03:00,11:43~16:03,,23,,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
순천,2025-04-02,12:24:00,12:42:00,12:24~12:30,12:35~12:42,8,49618.919,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
순천,2025-04-02,13:19:00,13:42:00,13:19~13:26,13:35~13:42,8,49618.919,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
순천,2025-04-02,14:23:00,14:40:00,14:23~14:29,14:33~14:40,8,49618.919,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
순천,2025-04-02,15:09:00,15:25:00,15:09~15:15,15:19~15:25,8,49618.919,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
순천,2025-04-02,15:58:00,16:13:00,15:58~16:03,16:06~16:13,8,49618.919,34.78709383333333,127.30496619444445,,배포.지자기야장(순천).250402ver.xlsx,250402순천야장
양산,2024-10-17,11:58:00,12:22:00,11:58~12:06,12:16~12:22,8,49582.83,35.67619995833333,129.1908721388889,,배포.지자기야장(양산).24.10.17.ver24.1.xlsx,양산.지자기야장
